# Title : Profile directory PCM analysis file of the Boundary Currents Monitor
# Description : The directory PCM analysis file describes all individual profile files of the argo GDAC ftp site for one Boundary Current system
# Project : ARGO, EARISE, BC-monitor
# Boundary Current system: GSE tight
# Format version : 1.0
# Date of update : 20260625011925
file,date,latitude,longitude,ocean,profiler_code,institution_code,date_update,wmo,cyc,institution,dac,profiler,cycle_number,url,pcm_label,reordered_label
aoml/1902733/profiles/R1902733_058.nc,20260623182814,36.311,-58.008,A,854,AO,20260623195309,1902733,58,"AOML, USA",aoml,S2A float with SBE conductivity sensor,58,https://dataselection.euro-argo.eu/cycle/6142445,,
aoml/1902754/profiles/R1902754_048.nc,20260619175936,33.914,-53.315,A,854,AO,20260622232115,1902754,48,"AOML, USA",aoml,S2A float with SBE conductivity sensor,48,https://dataselection.euro-argo.eu/cycle/6136890,,
aoml/1902891/profiles/R1902891_000.nc,20260619144539,33.369,-55.001,A,854,AO,20260619230719,1902891,0,"AOML, USA",aoml,S2A float with SBE conductivity sensor,0,https://dataselection.euro-argo.eu/cycle/6137046,,
aoml/1902891/profiles/R1902891_001.nc,20260620011724,33.381,-55.009,A,854,AO,20260621123811,1902891,1,"AOML, USA",aoml,S2A float with SBE conductivity sensor,1,https://dataselection.euro-argo.eu/cycle/6137155,,
aoml/1902891/profiles/R1902891_002.nc,20260621110705,33.407,-55.054,A,854,AO,20260622231514,1902891,2,"AOML, USA",aoml,S2A float with SBE conductivity sensor,2,https://dataselection.euro-argo.eu/cycle/6138120,,
aoml/1902891/profiles/R1902891_003.nc,20260622205544,33.427,-55.098,A,854,AO,20260622231516,1902891,3,"AOML, USA",aoml,S2A float with SBE conductivity sensor,3,https://dataselection.euro-argo.eu/cycle/6141745,,
aoml/2904008/profiles/R2904008_041.nc,20260623131529,34.121,-60.721,A,854,AO,20260623143347,2904008,41,"AOML, USA",aoml,S2A float with SBE conductivity sensor,41,https://dataselection.euro-argo.eu/cycle/6142199,,
aoml/3902332/profiles/R3902332_073.nc,20260622172925,41.174,-61.626,A,869,AO,20260622231955,3902332,73,"AOML, USA",aoml,NAVIS_EBR,73,https://dataselection.euro-argo.eu/cycle/6141625,0.0,0.0
aoml/3902334/profiles/R3902334_046.nc,20260618121053,35.062,-66.397,A,869,AO,20260618143709,3902334,46,"AOML, USA",aoml,NAVIS_EBR,46,https://dataselection.euro-argo.eu/cycle/6134143,2.0,1.0
aoml/3902784/profiles/R3902784_004.nc,20260615051953,38.807,-64.297,A,854,AO,20260615072853,3902784,4,"AOML, USA",aoml,S2A float with SBE conductivity sensor,4,https://dataselection.euro-argo.eu/cycle/6130400,,
aoml/4902927/profiles/R4902927_315.nc,20260620032250,33.135,-59.441,A,854,AO,20260620052342,4902927,315,"AOML, USA",aoml,S2A float with SBE conductivity sensor,315,https://dataselection.euro-argo.eu/cycle/6137250,,
aoml/4903056/profiles/R4903056_272.nc,20260614100123,41.858,-59.927,A,854,AO,20260614112710,4903056,272,"AOML, USA",aoml,S2A float with SBE conductivity sensor,272,https://dataselection.euro-argo.eu/cycle/6129896,,
aoml/4903069/profiles/R4903069_211D.nc,20260614102946,35.965,-71.392,A,874,AO,20260617073615,4903069,211,"AOML, USA",aoml,SOLO_D_MRV,211,https://dataselection.euro-argo.eu/cycle/6131172,,
aoml/4903069/profiles/R4903069_212D.nc,20260615195354,36.206,-71.168,A,874,AO,20260618173736,4903069,212,"AOML, USA",aoml,SOLO_D_MRV,212,https://dataselection.euro-argo.eu/cycle/6132314,,
aoml/4903069/profiles/R4903069_213D.nc,20260617050537,36.529,-70.939,A,874,AO,20260620004720,4903069,213,"AOML, USA",aoml,SOLO_D_MRV,213,https://dataselection.euro-argo.eu/cycle/6136160,,
aoml/4903069/profiles/R4903069_214D.nc,20260618141521,36.854,-70.741,A,874,AO,20260621103032,4903069,214,"AOML, USA",aoml,SOLO_D_MRV,214,https://dataselection.euro-argo.eu/cycle/6137069,,
aoml/4903069/profiles/R4903069_215D.nc,20260619233223,37.159,-70.538,A,874,AO,20260622193240,4903069,215,"AOML, USA",aoml,SOLO_D_MRV,215,https://dataselection.euro-argo.eu/cycle/6138088,,
aoml/4903069/profiles/R4903069_216D.nc,20260621090310,37.471,-70.294,A,874,AO,20260622193240,4903069,216,"AOML, USA",aoml,SOLO_D_MRV,216,https://dataselection.euro-argo.eu/cycle/6141623,,
aoml/4903070/profiles/R4903070_176D.nc,20260615214513,36.269,-70.239,A,874,AO,20260620004725,4903070,176,"AOML, USA",aoml,SOLO_D_MRV,176,https://dataselection.euro-argo.eu/cycle/6133312,,
aoml/4903070/profiles/R4903070_177D.nc,20260617221522,36.203,-70.118,A,874,AO,20260623211552,4903070,177,"AOML, USA",aoml,SOLO_D_MRV,177,https://dataselection.euro-argo.eu/cycle/6137068,,
aoml/4903070/profiles/R4903070_178D.nc,20260619223934,36.153,-70.079,A,874,AO,20260623211553,4903070,178,"AOML, USA",aoml,SOLO_D_MRV,178,https://dataselection.euro-argo.eu/cycle/6140693,,
aoml/4903233/profiles/R4903233_534.nc,20260615121121,35.881,-66.212,A,854,AO,20260620102301,4903233,534,"AOML, USA",aoml,S2A float with SBE conductivity sensor,534,https://dataselection.euro-argo.eu/cycle/6130803,,
aoml/4903233/profiles/R4903233_535.nc,20260620084742,35.635,-66.474,A,854,AO,20260620102305,4903233,535,"AOML, USA",aoml,S2A float with SBE conductivity sensor,535,https://dataselection.euro-argo.eu/cycle/6137399,,
aoml/4903258/profiles/R4903258_345.nc,20260622194751,38.409,-63.211,A,854,AO,20260622231555,4903258,345,"AOML, USA",aoml,S2A float with SBE conductivity sensor,345,https://dataselection.euro-argo.eu/cycle/6141731,,
aoml/4903260/profiles/R4903260_245.nc,20260616165948,34.569,-60.64,A,854,AO,20260616192613,4903260,245,"AOML, USA",aoml,S2A float with SBE conductivity sensor,245,https://dataselection.euro-argo.eu/cycle/6131963,,
aoml/4903329/profiles/R4903329_209.nc,20260620103745,39.971,-63.941,A,854,AO,20260620123311,4903329,209,"AOML, USA",aoml,S2A float with SBE conductivity sensor,209,https://dataselection.euro-argo.eu/cycle/6137448,,
aoml/4903354/profiles/R4903354_382.nc,20260619105102,34.108,-73.624,A,854,AO,20260619123636,4903354,382,"AOML, USA",aoml,S2A float with SBE conductivity sensor,382,https://dataselection.euro-argo.eu/cycle/6136662,,
aoml/4903456/profiles/R4903456_138.nc,20260617102028,35.876,-53.784,A,869,AO,20260617122955,4903456,138,"AOML, USA",aoml,NAVIS_EBR,138,https://dataselection.euro-argo.eu/cycle/6132468,,
aoml/5906342/profiles/R5906342_191.nc,20260617092659,42.157,-57.645,A,846,AO,20260617144337,5906342,191,"AOML, USA",aoml,Teledyne Webb Research float with SBE conductivity sensor,191,https://dataselection.euro-argo.eu/cycle/6132924,,
aoml/5907286/profiles/R5907286_003.nc,20260614043045,40.415,-62.388,A,854,AO,20260615173425,5907286,3,"AOML, USA",aoml,S2A float with SBE conductivity sensor,3,https://dataselection.euro-argo.eu/cycle/6129773,,
aoml/5907286/profiles/R5907286_004.nc,20260615135642,40.455,-62.405,A,854,AO,20260615173426,5907286,4,"AOML, USA",aoml,S2A float with SBE conductivity sensor,4,https://dataselection.euro-argo.eu/cycle/6130997,,
aoml/6999997/profiles/R6999997_032.nc,20260614050519,33.145,-62.328,A,869,AO,20260614073416,6999997,32,"AOML, USA",aoml,NAVIS_EBR,32,https://dataselection.euro-argo.eu/cycle/6129795,,
aoml/7902239/profiles/R7902239_057.nc,20260614043532,37.216,-71.703,A,854,AO,20260622232024,7902239,57,"AOML, USA",aoml,S2A float with SBE conductivity sensor,57,https://dataselection.euro-argo.eu/cycle/6129793,,
aoml/7902241/profiles/R7902241_057.nc,20260615195433,33.973,-71.121,A,854,AO,20260622232051,7902241,57,"AOML, USA",aoml,S2A float with SBE conductivity sensor,57,https://dataselection.euro-argo.eu/cycle/6131131,,
bodc/3902495/profiles/R3902495_100.nc,20260621201020,33.02,-49.795,A,844,BO,20260621211810,3902495,100,"BODC, United Kingdom",bodc,ARVOR float with SBE conductivity sensor,100,https://dataselection.euro-argo.eu/cycle/6140588,,
bodc/4903662/profiles/R4903662_170.nc,20260621002300,36.272,-70.73,A,836,BO,20260621031949,4903662,170,"BODC, United Kingdom",bodc,PROVOR III,170,https://dataselection.euro-argo.eu/cycle/6137931,,
bodc/6990520/profiles/R6990520_102.nc,20260615120248,33.552,-51.093,A,846,BO,20260615200400,6990520,102,"BODC, United Kingdom",bodc,Teledyne Webb Research float with SBE conductivity sensor,102,https://dataselection.euro-argo.eu/cycle/6131073,,
bodc/6990521/profiles/R6990521_102.nc,20260616233408,43.083,-52.408,A,846,BO,20260617020512,6990521,102,"BODC, United Kingdom",bodc,Teledyne Webb Research float with SBE conductivity sensor,102,https://dataselection.euro-argo.eu/cycle/6132138,,
