# Title : Profile directory file of the Boundary Currents Monitor
# Description : The directory file describes all individual profile files of the argo GDAC ftp site for one Boundary Current system (GSE tight)
# Project : ARGO, EARISE, BC-monitor
# Format version : 2.0
# Date of update : 20240522001300
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.org/pub/outgoing/argo/dac
# GDAC node : -
file,date,latitude,longitude,ocean,profiler_type,institution,date_update
aoml/1902392/profiles/R1902392_093.nc,20240518100209,37.808,-53.98,A,854,AO,20240518110053
aoml/1902444/profiles/R1902444_090.nc,20240515093346,35.414,-68.344,A,876,AO,20240515110052
aoml/3901219/profiles/R3901219_264.nc,20240518192406,43.141,-55.744,A,854,AO,20240518223105
aoml/4902109/profiles/R4902109_309.nc,20240521041411,36.995,-63.635,A,854,AO,20240521050032
aoml/4902111/profiles/R4902111_311.nc,20240514235737,34.758,-65.669,A,854,AO,20240515020047
aoml/4902121/profiles/R4902121_298.nc,20240516012848,40.027,-50.262,A,854,AO,20240516020040
aoml/4902337/profiles/R4902337_328.nc,20240516112647,40.364,-48.317,A,854,AO,20240516120025
aoml/4902344/profiles/R4902344_284.nc,20240516115713,39.677,-66.929,A,854,AO,20240516140043
aoml/4902345/profiles/R4902345_301.nc,20240513072900,37.053,-73.77,A,854,AO,20240513090037
aoml/4902928/profiles/R4902928_238.nc,20240520023529,34.977,-71.1,A,854,AO,20240520040025
aoml/4903035/profiles/R4903035_247.nc,20240518095937,33.724,-64.449,A,854,AO,20240518110039
aoml/4903049/profiles/R4903049_206.nc,20240516193659,39.278,-56.261,A,854,AO,20240517000116
aoml/4903050/profiles/R4903050_193.nc,20240513190103,33.472,-71.72,A,854,AO,20240513223149
aoml/4903056/profiles/R4903056_195.nc,20240513222719,40.155,-62.063,A,854,AO,20240514000106
aoml/4903233/profiles/R4903233_376.nc,20240512150500,38.746,-71.182,A,854,AO,20240517120032
aoml/4903233/profiles/R4903233_377.nc,20240517110037,38.477,-71.698,A,854,AO,20240517120032
aoml/4903252/profiles/R4903252_261.nc,20240518092220,38.991,-68.89,A,854,AO,20240518100043
aoml/4903256/profiles/R4903256_310.nc,20240520224832,33.138,-68.016,A,854,AO,20240521000109
aoml/4903258/profiles/R4903258_269.nc,20240512111334,42.193,-54.519,A,854,AO,20240512120040
aoml/4903260/profiles/R4903260_168.nc,20240517182005,39.507,-50.9,A,854,AO,20240517190057
aoml/4903273/profiles/R4903273_106.nc,20240516062233,39.595,-66.567,A,869,AO,20240517000144
aoml/4903277/profiles/R4903277_254.nc,20240515195737,35.298,-58.61,A,854,AO,20240516000158
aoml/4903280/profiles/R4903280_132.nc,20240514014831,37.877,-61.226,A,854,AO,20240514030036
aoml/4903329/profiles/R4903329_132.nc,20240520134300,33.965,-63.535,A,854,AO,20240520170059
aoml/4903377/profiles/R4903377_825.nc,20240512021626,42.79,-55.185,A,876,AO,20240513100040
aoml/4903377/profiles/R4903377_826.nc,20240513085542,42.773,-55.205,A,876,AO,20240514170332
aoml/4903377/profiles/R4903377_827.nc,20240514153815,42.737,-55.213,A,876,AO,20240514170333
aoml/4903377/profiles/R4903377_828.nc,20240515221607,42.718,-55.202,A,876,AO,20240517070046
aoml/4903377/profiles/R4903377_829.nc,20240517045628,42.69,-55.19,A,876,AO,20240517170113
aoml/4903377/profiles/R4903377_830.nc,20240517152833,42.679,-55.239,A,876,AO,20240519000117
aoml/4903377/profiles/R4903377_831.nc,20240518220826,42.64,-55.214,A,876,AO,20240519100040
aoml/4903377/profiles/R4903377_832.nc,20240519084205,42.629,-55.236,A,876,AO,20240520170122
aoml/4903377/profiles/R4903377_833.nc,20240520152740,42.593,-55.211,A,876,AO,20240521030037
aoml/4903377/profiles/R4903377_834.nc,20240521020154,42.544,-55.267,A,876,AO,20240521030037
aoml/4903456/profiles/R4903456_062.nc,20240513154656,36.743,-51.37,A,869,AO,20240513223233
aoml/5906342/profiles/R5906342_115.nc,20240514070640,36.891,-67.555,A,846,AO,20240514100045
aoml/5906435/profiles/R5906435_115.nc,20240518235324,33.245,-54.395,A,846,AO,20240519030027
aoml/5906438/profiles/R5906438_111.nc,20240521092641,38.306,-60.081,A,846,AO,20240521140545
bodc/3902491/profiles/R3902491_070.nc,20240514121300,36.667,-71.974,A,836,BO,20240515001956
bodc/3902495/profiles/R3902495_026.nc,20240512001820,42.342,-50.987,A,844,BO,20240512062651
bodc/4903662/profiles/R4903662_093.nc,20240512121300,37.711,-62.483,A,836,BO,20240513004213
bodc/5906966/profiles/R5906966_106.nc,20240519115247,34.919,-71.517,A,877,BO,20240520030948
bodc/6901195/profiles/R6901195_262.nc,20240515022517,35.494,-57.272,A,846,BO,20240515080918
bodc/6901930/profiles/R6901930_224.nc,20240517094300,39.722,-53.837,A,844,BO,20240517122248
bodc/7901008/profiles/R7901008_088.nc,20240518141626,36.18,-67.412,A,846,BO,20240518200726
coriolis/3901601/profiles/R3901601_280.nc,20240514041032,41.86,-63.398,A,846,IF,20240515141637
coriolis/3901602/profiles/R3901602_281.nc,20240520122947,33.651,-59.89,A,846,IF,20240520141509
coriolis/3901603/profiles/R3901603_280.nc,20240512010238,41.734,-57.193,A,846,IF,20240513111628
coriolis/3901687/profiles/R3901687_154.nc,20240516204320,40.769,-54.294,A,844,IF,20240516212840
coriolis/3902001/profiles/R3902001_089.nc,20240513134330,36.896,-52.275,A,844,IF,20240513143220
coriolis/4903668/profiles/R4903668_032.nc,20240516112200,43.806,-48.018,A,836,IF,20240516125258
coriolis/6903121/profiles/R6903121_089.nc,20240515133830,35.719,-60.262,A,844,IF,20240515142907
coriolis/6903122/profiles/R6903122_089.nc,20240515133430,37.273,-65.768,A,844,IF,20240515142806
coriolis/6990501/profiles/R6990501_063.nc,20240513111431,39.926,-51.445,A,846,IF,20240514211539
meds/4902467/profiles/R4902467_184.nc,20240518062500,42.727,-57.749,A,844,ME,20240518041549
meds/4902470/profiles/R4902470_184.nc,20240518063000,37.566,-53.274,A,844,ME,20240518041551
meds/4902481/profiles/R4902481_179.nc,20240520081800,42.952,-61.403,A,844,ME,20240520071558
meds/4902498/profiles/R4902498_162.nc,20240521113600,40.937,-61.941,A,844,ME,20240521101550
meds/4902503/profiles/R4902503_130.nc,20240517060200,38.775,-63.863,A,844,ME,20240517041552
meds/4902515/profiles/R4902515_095.nc,20240512184700,38.95,-72.628,A,844,ME,20240513131608
meds/4902518/profiles/R4902518_095.nc,20240513190200,33.19,-66.256,A,844,ME,20240513191546
meds/4902519/profiles/R4902519_095.nc,20240515184100,35.178,-56.025,A,844,ME,20240515161547
meds/4902523/profiles/R4902523_130.nc,20240516064400,36.862,-68.623,A,844,ME,20240516041552
meds/4902524/profiles/R4902524_130.nc,20240516064600,40.712,-52.35,A,844,ME,20240516041553
meds/4902576/profiles/R4902576_077.nc,20240518015600,35.808,-69.179,A,844,ME,20240518011553
meds/4902577/profiles/R4902577_077.nc,20240518015300,39.181,-49.472,A,844,ME,20240518011555
meds/4902590/profiles/R4902590_072.nc,20240520011600,34.688,-69.878,A,844,ME,20240520011550
meds/4902598/profiles/R4902598_061.nc,20240514093700,38.711,-64.264,A,836,ME,20240514060050
meds/4902599/profiles/R4902599_059.nc,20240518183200,38.889,-64.577,A,836,ME,20240518180135
meds/4902600/profiles/R4902600_026.nc,20240519103300,39.293,-71.804,A,836,ME,20240519120053
meds/4902601/profiles/R4902601_025.nc,20240521021500,39.194,-72.134,A,836,ME,20240521000056
meds/4902606/profiles/R4902606_034.nc,20240514025500,36.368,-60.123,A,844,ME,20240514011555
meds/4902608/profiles/R4902608_022.nc,20240516210400,42.278,-51.02,A,844,ME,20240516191549
meds/4902622/profiles/R4902622_004.nc,20240513020300,42.535,-62.967,A,836,ME,20240513000051
meds/4902627/profiles/R4902627_025.nc,20240513111700,41.448,-63.102,A,836,ME,20240513120108
meds/4902676/profiles/R4902676_003.nc,20240518103900,43.263,-59.151,A,836,ME,20240518120054
